Price,Address,Property Details,Sellers Details
"$325,000","2900 Jason Dr, Rocky Mount, NC 27803","4bds4ba3,648sqft- House for sale",
"$189,900","126 S Harris Street, Rocky Mount, NC 27804","3bds2ba1,927sqft- House for sale","BOONE, HILL, ALLEN & RICKS"
"$129,000","2126 Coral Drive, Rocky Mount, NC 27801","3bds2ba1,200sqft- House for sale","KEYSTONE REALTY, LLC"
"$50,000","1414 Dogwood Avenue, Rocky Mount, NC 27804","2bds1ba1,071sqft- House for sale",MOOREFIELD REAL ESTATE LLC
"$434,500","205 Ashmore Lane, Rocky Mount, NC 27804","4bds3ba2,588sqft- House for sale",MOOREFIELD REAL ESTATE LLC
"$259,900","1809 Bethlehem Rd, Rocky Mount, NC 27803","3bds2ba1,329sqft- House for sale",
"$179,990","633 Powell Dr, Rocky Mount, NC 27803","3bds2ba1,205sqft- House for sale",
"$314,490","1222 Middlecrest Dr, Rocky Mount, NC 27804","3bds3ba2,175sqft- New construction","D.R. Horton, Inc."
"$165,000","302 Ambler Avenue, Rocky Mount, NC 27801","3bds2ba1,400sqft- House for sale",SIMS AND KERSHAW REALTY
"$325,000","2900 Jason Dr, Rocky Mount, NC 27803","4bds4ba3,648sqft- House for sale",
"$189,900","126 S Harris Street, Rocky Mount, NC 27804","3bds2ba1,927sqft- House for sale","BOONE, HILL, ALLEN & RICKS"
"$129,000","2126 Coral Drive, Rocky Mount, NC 27801","3bds2ba1,200sqft- House for sale","KEYSTONE REALTY, LLC"
"$50,000","1414 Dogwood Avenue, Rocky Mount, NC 27804","2bds1ba1,071sqft- House for sale",MOOREFIELD REAL ESTATE LLC
"$434,500","205 Ashmore Lane, Rocky Mount, NC 27804","4bds3ba2,588sqft- House for sale",MOOREFIELD REAL ESTATE LLC
"$259,900","1809 Bethlehem Rd, Rocky Mount, NC 27803","3bds2ba1,329sqft- House for sale",
"$179,990","633 Powell Dr, Rocky Mount, NC 27803","3bds2ba1,205sqft- House for sale",
"$314,490","1222 Middlecrest Dr, Rocky Mount, NC 27804","3bds3ba2,175sqft- New construction","D.R. Horton, Inc."
"$165,000","302 Ambler Avenue, Rocky Mount, NC 27801","3bds2ba1,400sqft- House for sale",SIMS AND KERSHAW REALTY
"$325,000","2900 Jason Dr, Rocky Mount, NC 27803","4bds4ba3,648sqft- House for sale",
"$189,900","126 S Harris Street, Rocky Mount, NC 27804","3bds2ba1,927sqft- House for sale","BOONE, HILL, ALLEN & RICKS"
"$129,000","2126 Coral Drive, Rocky Mount, NC 27801","3bds2ba1,200sqft- House for sale","KEYSTONE REALTY, LLC"
"$50,000","1414 Dogwood Avenue, Rocky Mount, NC 27804","2bds1ba1,071sqft- House for sale",MOOREFIELD REAL ESTATE LLC
"$434,500","205 Ashmore Lane, Rocky Mount, NC 27804","4bds3ba2,588sqft- House for sale",MOOREFIELD REAL ESTATE LLC
"$259,900","1809 Bethlehem Rd, Rocky Mount, NC 27803","3bds2ba1,329sqft- House for sale",
"$179,990","633 Powell Dr, Rocky Mount, NC 27803","3bds2ba1,205sqft- House for sale",
"$314,490","1222 Middlecrest Dr, Rocky Mount, NC 27804","3bds3ba2,175sqft- New construction","D.R. Horton, Inc."
"$165,000","302 Ambler Avenue, Rocky Mount, NC 27801","3bds2ba1,400sqft- House for sale",SIMS AND KERSHAW REALTY
"$95,000","117 S Pine Street, Rocky Mount, NC 27804","3bds1ba1,296sqft- House for sale",BRENT BASS & ASSOCIATES
"$174,000","1253 Fairway Terrace, Rocky Mount, NC 27804","3bds3ba1,584sqft- House for sale",THE AUGUST REALTOR LLC
"$340,000","3609 Mansfield Dr, Rocky Mount, NC 27803","4bds3ba2,789sqft- House for sale",
"$229,900","101 Falcon Road, Rocky Mount, NC 27801","3bds2ba1,250sqft- House for sale","MARKET LEADER REALTY, LLC."
"$145,000","813 Henna Street, Rocky Mount, NC 27801","3bds1ba1,054sqft- Foreclosure",SELECTIVE HOMES
"$345,000","1699 Yorkshire Lane, Rocky Mount, NC 27803","3bds3ba1,968sqft- House for sale",EXP REALTY LLC - C
"$563,000","293 Tayriver, Rocky Mount, NC 27804","4bds3ba2,811sqft- New construction",MOOREFIELD REAL ESTATE LLC
"$135,000","913 Nashville Road, Rocky Mount, NC 27803","3bds2ba1,404sqft- House for sale",BULLOCK REALTY LLC
"$188,500","511 Hammond Street, Rocky Mount, NC 27804","4bds2ba1,985sqft- House for sale",COOPER & ASSOCIATES REAL EST
"$95,000","117 S Pine Street, Rocky Mount, NC 27804","3bds1ba1,296sqft- House for sale",BRENT BASS & ASSOCIATES
"$174,000","1253 Fairway Terrace, Rocky Mount, NC 27804","3bds3ba1,584sqft- House for sale",THE AUGUST REALTOR LLC
"$340,000","3609 Mansfield Dr, Rocky Mount, NC 27803","4bds3ba2,789sqft- House for sale",
"$229,900","101 Falcon Road, Rocky Mount, NC 27801","3bds2ba1,250sqft- House for sale","MARKET LEADER REALTY, LLC."
"$145,000","813 Henna Street, Rocky Mount, NC 27801","3bds1ba1,054sqft- Foreclosure",SELECTIVE HOMES
"$345,000","1699 Yorkshire Lane, Rocky Mount, NC 27803","3bds3ba1,968sqft- House for sale",EXP REALTY LLC - C
"$563,000","293 Tayriver, Rocky Mount, NC 27804","4bds3ba2,811sqft- New construction",MOOREFIELD REAL ESTATE LLC
"$135,000","913 Nashville Road, Rocky Mount, NC 27803","3bds2ba1,404sqft- House for sale",BULLOCK REALTY LLC
"$188,500","511 Hammond Street, Rocky Mount, NC 27804","4bds2ba1,985sqft- House for sale",COOPER & ASSOCIATES REAL EST
